ring,year,site,box,age,sex,wing,mass,date,time,ringer
Z632571,2016,BIR,1,6,F,60,9.95,155,12:20,Recorder9
Z632848,2016,RSY,5,6,F,61,11.21,155,7:45,Recorder9
Z632849,2016,RSY,5,6,M,61,10.4,155,7:45,Recorder9
Z632850,2016,FOF,1,5,F,62,11.52,155,8:20,Recorder9
Z632851,2016,BIR,4,5,M,61,9.95,155,11:55,Recorder9
Z632852,2016,BIR,4,6,F,59,10.88,155,11:55,Recorder9
Z632884,2016,DOR,2,6,M,66,10.63,155,9:20,Recorder1
Z632885,2016,DEL,4,6,F,64,10.33,155,11:00,Recorder1
Z632886,2016,DEL,4,6,M,67,11.04,155,11:00,Recorder1
Z081257,2016,FOU,2,6,M,65,10.96,156,13:30,Recorder9
Z081960,2016,BLG,5,6,M,66,,156,7:35,Recorder2
Z632288,2016,PTH,5,6,M,66,9.9,156,9:50,Recorder2
Z632410,2016,FOF,6,6,M,67,10.97,156,10:40,Recorder2
Z632432,2016,BLG,6,6,M,64,10.69,156,8:00,Recorder2
Z632449,2016,RSY,1,6,F,64,10.61,156,11:50,Recorder2
Z632463,2016,BLG,3,6,F,62,10.72,156,7:30,Recorder2
Z632853,2016,NEW,1,5,F,62,10.52,156,8:00,Recorder9
Z632854,2016,FOU,3,5,M,63,10.2,156,12:45,Recorder9
Z632855,2016,ALN,6,6,F,60,10.19,156,14:10,Recorder9
Z632856,2016,ALN,6,6,M,65,10.51,156,14:10,Recorder9
Z632857,2016,SPD,3,6,M,65,11.16,156,16:15,Recorder9
Z632858,2016,SPD,3,5,F,60,10.47,156,16:15,Recorder9
Z632950,2016,BLG,5,6,F,65,11.11,156,7:35,Recorder2
Z632951,2016,BLG,6,5,F,61,11.22,156,8:00,Recorder2
Z632952,2016,PTH,2,5,M,65,10.17,156,9:30,Recorder2
Z632953,2016,PTH,2,5,F,63,10.54,156,9:30,Recorder2
Z632954,2016,PTH,5,5,F,61,10.88,156,9:50,Recorder2
Z632955,2016,FOF,6,6,F,63,10.58,156,10:40,Recorder2
Z632956,2016,FOF,4,5,F,62,10.44,156,10:50,Recorder2
Z632957,2016,FOF,3,6,F,64,11.03,156,11:00,Recorder2
Z632958,2016,RSY,1,6,M,65,10.64,156,11:50,Recorder2
Z081713,2016,FOF,2,6,M,65,10.82,157,9:05,Recorder2
Z632373,2016,RSY,6,6,M,63,10.24,157,7:50,Recorder2
Z632653,2016,BIR,3,6,F,60,10.95,157,11:40,Recorder2
Z632859,2016,MUN,2,5,M,65,10.03,157,10:30,Recorder9
Z632860,2016,MUN,6,6,M,65,10.1,157,11:05,Recorder9
Z632861,2016,ART,1,5,F,60,10.87,157,11:45,Recorder9
Z632862,2016,ART,1,6,M,65,10.74,157,11:45,Recorder9
Z632863,2016,DAV,4,5,M,64,9.85,157,12:15,Recorder9
Z632864,2016,DAV,4,6,F,60,10.54,157,12:15,Recorder9
Z632959,2016,RSY,6,6,F,60,9.99,157,7:50,Recorder2
Z632960,2016,RSY,4,6,F,63,10.82,157,8:00,Recorder2
Z632961,2016,RSY,4,6,M,64,10.8,157,8:00,Recorder2
Z632962,2016,FOF,2,5,F,61,10.55,157,9:05,Recorder2
Z632963,2016,BIR,3,6,M,65,11.03,157,11:40,Recorder2
D517348,2016,EDI,4,6,F,62,10.48,158,15:50,Recorder8
Z081169,2016,DAV,1,6,F,63,11.15,158,10:40,Recorder9
Z081860,2016,DAV,1,6,M,65,9.96,158,10:40,Recorder9
Z632334,2016,DEL,6,6,M,63,10,158,14:00,Recorder9
Z632474,2016,EDI,4,6,M,65,9.67,158,15:50,Recorder8
Z632478,2016,GLF,6,6,F,62,10.04,158,14:30,Recorder2
Z632625,2016,GLF,5,6,M,67,11.15,158,14:35,Recorder8
Z632827,2016,EDI,6,6,F,60,11,158,15:45,Recorder2
Z632865,2016,FOU,3,6,F,59,11.34,158,11:45,Recorder9
Z632964,2016,STY,1,6,F,61,10.11,158,12:00,Recorder2
Z632965,2016,GLF,2,6,F,62,11.21,158,14:10,Recorder8
Z632966,2016,GLF,2,6,M,65,11.64,158,14:10,Recorder8
Z632967,2016,GLF,5,6,F,62,10.8,158,14:35,Recorder8
Z632968,2016,EDI,6,6,M,63,11.38,158,15:45,Recorder2
Z081172,2016,MUN,3,6,F,62,10.74,159,8:50,Recorder9
Z081173,2016,MUN,3,6,M,63,9.95,159,8:50,Recorder9
Z081834,2016,DOR,5,6,F,61,10.49,159,6:30,Recorder9
Z632866,2016,CAR,1,5,M,62,11.15,159,10:20,Recorder9
Z632032,2016,DAV,5,6,M,67,10.46,160,15:40,Recorder1
Z632867,2016,GLF,3,5,M,63,10.05,160,13:25,Recorder9
Z632868,2016,GLF,3,5,F,62,10.34,160,13:25,Recorder9
Z632869,2016,GLF,4,6,M,66,9.84,160,13:50,Recorder9
Z632887,2016,DAV,5,6,F,63,10.34,160,15:40,Recorder1
Z632888,2016,ART,2,6,F,64,10.42,160,16:50,Recorder1
Z632889,2016,ART,2,6,M,68,10.85,160,16:50,Recorder1
Z081130,2016,BAD,4,6,M,66,11.17,161,9:00,Recorder2
Z081171,2016,MUN,2,6,F,63,10.19,161,13:10,Recorder1
Z081195,2016,DEL,2,6,M,68,11.73,161,11:50,Recorder1
Z081312,2016,AVI,3,6,F,61,9.98,161,19:20,Recorder2
Z081853,2016,INS,5,6,M,65,10.16,161,18:40,Recorder1
Z632577,2016,BLA,6,6,M,66,10.39,161,14:40,Recorder2
Z632890,2016,DEL,3,5,F,62,10.67,161,11:50,Recorder1
Z632891,2016,DEL,2,6,F,62,10.66,161,11:50,Recorder1
Z632892,2016,AVN,5,5,M,65,10.88,161,16:20,Recorder1
Z632902,2016,AVN,5,6,F,66,11.57,161,16:20,Recorder1
Z632925,2016,BLG,1,6,F,63,10.14,161,12:20,Recorder2
Z632969,2016,RSY,3,6,M,63,10.63,161,7:40,Recorder2
Z632970,2016,RSY,3,5,F,62,10.55,161,7:40,Recorder2
Z632971,2016,PTH,1,6,M,64,10.62,161,10:30,Recorder2
Z632972,2016,BLG,1,6,M,65,9.77,161,12:20,Recorder2
Z632973,2016,BLA,5,6,F,63,10.62,161,14:10,Recorder2
Z632974,2016,BLA,5,6,M,65,10.72,161,14:10,Recorder2
Z632975,2016,BLA,6,5,F,62,10.58,161,14:40,Recorder2
Z632976,2016,CAL,5,5,M,62,10.69,161,15:10,Recorder2
Z632977,2016,FSH,5,5,F,62,10.46,161,18:05,Recorder2
Z632978,2016,FSH,5,5,M,62,9.77,161,18:05,Recorder2
Z632979,2016,RTH,1,6,M,66,11.66,161,18:40,Recorder2
Z632980,2016,RTH,1,5,F,60,10.56,161,18:40,Recorder2
Z632981,2016,AVN,1,6,F,61,11.36,161,20:00,Recorder2
Z632550,2016,BAD,4,6,F,,10.84,162,16:45,Recorder2
Z632610,2016,KCZ,4,6,F,63,11.65,162,10:40,Recorder2
Z632692,2016,KCZ,4,6,M,64,10.38,162,10:40,Recorder2
Z632794,2016,DUN,6,6,F,62,11.41,162,12:55,Recorder2
Z632893,2016,AVN,6,6,F,62,10.13,162,10:30,Recorder1
Z632894,2016,AVN,6,5,M,65,10.47,162,10:30,Recorder1
Z632895,2016,AVN,4,5,M,64,10.66,162,11:00,Recorder1
Z632896,2016,AVN,1,6,M,66,10.58,162,11:10,Recorder1
Z632903,2016,AVN,4,6,F,61,9.94,162,11:00,Recorder1
Z632937,2016,KCZ,3,6,M,66,11.44,162,10:30,Recorder2
Z632982,2016,CAL,5,5,F,61,10.37,162,9:00,Recorder2
Z632983,2016,KCZ,3,6,F,65,10.82,162,10:30,Recorder2
Z632984,2016,KCZ,5,5,M,63,10.69,162,10:55,Recorder2
Z632985,2016,KCZ,5,5,F,62,10.59,162,10:55,Recorder2
Z632986,2016,DUN,4,5,F,62,11.08,162,12:20,Recorder2
Z632987,2016,DUN,4,5,M,62,10.66,162,12:20,Recorder2
Z632988,2016,DUN,6,6,M,66,11.18,162,12:55,Recorder2
Z632989,2016,GLF,1,5,M,65,10.42,162,15:25,Recorder2
Z632990,2016,GLF,1,6,F,62,10.89,162,15:25,Recorder2
Z632991,2016,BAD,3,6,M,65,10.95,162,16:30,Recorder2
Z632683,2016,BLA,2,6,M,66,10.32,163,10:20,Recorder9
Z632801,2016,BLA,2,6,F,62,10.76,163,10:20,Recorder9
Z632866,2016,CAR,1,5,M,66,,163,12:20,Recorder1
Z632897,2016,CAR,1,5,F,61,10.42,163,12:20,Recorder1
Z632898,2016,AVN,3,5,M,66,10.61,163,14:00,Recorder1
Z632899,2016,RTH,6,6,M,67,10.49,163,15:10,Recorder1
Z632900,2016,FSH,3,6,M,66,10.98,163,16:20,Recorder1
S228845,2016,KCZ,1,5,M,66,10.67,164,13:20,Recorder1
S228846,2016,KCZ,1,6,F,63,10.72,164,13:20,Recorder1
Z632870,2016,SLS,3,5,F,62,10.64,164,11:40,Recorder9
Z632871,2016,SPD,1,6,F,61,10.65,164,15:45,Recorder9
Z081391,2016,NEW,5,6,M,68,11.2,165,18:20,Recorder2
Z081711,2016,BLG,4,6,M,65,11.74,165,10:46,Recorder2
Z632284,2016,NEW,5,6,F,62,10.28,165,18:20,Recorder2
Z632872,2016,RTH,5,6,M,66,10.43,165,14:05,Recorder9
Z632992,2016,BLG,4,5,F,62,10.79,165,10:46,Recorder2
Z632993,2016,KCZ,6,5,M,63,9.75,165,11:30,Recorder2
Z632994,2016,DNM,2,5,M,64,11.17,165,13:10,Recorder2
Z632995,2016,DNM,2,6,F,63,10.65,165,13:10,Recorder2
Z632996,2016,RTH,5,6,F,63,11.62,165,20:00,Recorder2
Z632374,2016,CRU,5,6,M,66,9.72,166,7:42,Recorder2
Z632465,2016,CAL,4,6,F,63,9.98,166,8:50,Recorder2
Z632997,2016,KCK,1,5,F,58,9.36,166,9:36,Recorder2
Z632998,2016,KCK,3,6,F,62,10.02,166,10:10,Recorder2
Z632999,2016,KCK,3,5,M,65,10.24,166,10:10,Recorder2
S228853,2016,AVI,6,6,M,69,11.03,168,12:20,Recorder1
S228854,2016,AVI,6,6,F,64,10.91,168,12:20,Recorder1
Z081857,2016,DLW,1,6,F,64,10.1,168,9:40,Recorder9
Z632873,2016,CRU,1,5,F,59,9.25,168,9:00,Recorder9
Z632948,2016,CRU,1,6,M,64,10.03,168,9:00,Recorder9
Z632874,2016,DNM,6,5,F,59,9.89,169,13:45,Recorder9
Z632875,2016,DLW,1,5,M,65,11,169,15:00,Recorder9
S228985,2016,SLS,6,5,M,65,10.24,170,11:30,Recorder9
S229040,2016,NEW,3,6,F,63,10.81,173,14:50,Recorder2
Z633000,2016,NEW,3,5,M,63,10.29,173,14:50,Recorder2
S229075,2017,FOF,8,6,M,67,11.81,132,10:57,Recorder14
S229076,2017,FOF,8,6,F,63,10.63,132,10:57,Recorder14
Z081735,2017,SER,5,6,F,62,10.31,133,12:02,Recorder8
S229085,2017,FOF,5,6,F,63,11.24,134,9:10,Recorder2
Z632386,2017,FOF,5,6,M,65,11.26,134,9:10,Recorder2
Z632622,2017,SER,5,6,M,66,10.9,134,11:40,Recorder2
S228507,2017,SER,1,5,M,62,9.99,137,11:40,Recorder8
S228503,2017,MCH,3,5,F,,,138,11:20,Recorder2
S229136,2017,FOF,7,5,M,64,11.28,138,9:10,Recorder2
S229157,2017,MCH,6,5,F,61,9.92,138,11:10,Recorder2
S229158,2017,MCH,6,5,M,64,10.76,138,11:10,Recorder2
S229169,2017,BLG,2,5,M,66,10.92,138,14:30,Recorder2
Z081955,2017,BLG,2,6,F,63,11.45,138,14:30,Recorder2
Z632253,2017,PTH,3,6,M,63,11.52,138,12:50,Recorder2
Z632956,2017,FOF,7,6,F,62,10.54,138,9:10,Recorder2
S229180,2017,SER,7,5,F,61,10.63,139,11:30,Recorder2
S228508,2017,SER,7,5,M,66,11.17,140,11:20,Recorder2
S229241,2017,EDI,6,5,M,64,10.33,141,14:03,Recorder14
S229242,2017,EDI,6,5,F,60,10.82,141,14:03,Recorder14
S922017,2017,FOU,1,6,F,62,10.39,141,13:30,Recorder15
Z081098,2017,FOU,1,6,M,65,10.95,141,13:30,Recorder15
S229257,2017,FOF,1,5,F,64,10.95,142,7:53,Recorder2
S229258,2017,FOF,6,5,F,63,10.91,142,8:38,Recorder2
S229259,2017,FOF,6,5,M,65,10.87,142,8:38,Recorder2
S229265,2017,SER,8,5,F,60,10.66,142,11:20,Recorder2
S229266,2017,PTH,2,5,M,64,10.86,142,12:20,Recorder2
S229267,2017,PTH,2,5,F,66,10.73,142,12:20,Recorder2
Z081936,2017,FOF,1,6,M,65,11.22,142,7:53,Recorder2
Z632957,2017,FOF,2,6,F,65,10.82,142,8:15,Recorder2
S228508,2017,SER,8,5,M,66,11.08,143,10:57,Recorder2
S922333,2017,KCZ,8,5,F,,11.19,143,8:00,Recorder2
S922343,2017,SER,2,5,F,63,10.45,143,11:58,Recorder2
S922344,2017,SER,2,5,M,63,10.42,143,11:58,Recorder2
S922345,2017,SER,3,5,M,66,11.32,143,12:30,Recorder2
S922355,2017,EDI,3,6,M,62,10.3,143,15:50,Recorder2
S922356,2017,EDI,3,5,F,62,10.86,143,15:50,Recorder2
Z632368,2017,STY,7,6,F,61,9.88,143,10:50,Recorder2
Z632393,2017,STY,7,6,M,65,9.99,143,10:50,Recorder2
Z632446,2017,EDI,2,6,F,63,11.5,143,16:20,Recorder2
Z632447,2017,EDI,2,6,M,65,10.41,143,15:30,Recorder2
S922054,2017,DEL,2,6,F,63,11.23,144,9:15,Recorder15
S922365,2017,RSY,2,6,M,65,9.85,144,9:52,Recorder14
S922390,2017,BLG,8,6,M,65,10.43,144,16:21,Recorder14
Z081195,2017,DEL,2,6,M,68,11.42,144,9:15,Recorder1
S228092,2017,SER,4,5,F,63,10.57,145,13:05,Recorder8
S228330,2017,TAI,2,6,F,62,10.48,145,17:15,Recorder15
S922076,2017,TAI,2,6,M,65,11,145,17:15,Recorder15
S922214,2017,PTH,4,6,M,63,9.89,145,11:39,Recorder14
S922215,2017,SER,6,6,F,62,9.46,145,13:56,Recorder8
S922813,2017,EDI,8,5,F,60,10.41,145,16:45,Recorder14
S922814,2017,EDI,8,5,M,63,10.17,145,16:45,Recorder14
Z081252,2017,FOU,3,6,M,63,11.16,145,15:10,Recorder15
Z081799,2017,SER,3,6,F,61,10.12,145,13:35,Recorder14
S922227,2017,PTH,1,5,M,64,,146,11:12,Recorder8
S922228,2017,BLG,7,5,F,61,10.91,146,14:35,Recorder8
S922815,2017,RSY,2,6,F,62,11,146,7:00,Recorder2
S922816,2017,RSY,3,5,M,65,10.76,146,7:10,Recorder2
S922817,2017,RSY,3,5,F,62,11.51,146,7:10,Recorder2
S922818,2017,RSY,5,5,F,59,10.56,146,7:20,Recorder2
S922819,2017,RSY,5,5,M,66,10.47,146,7:20,Recorder2
S922820,2017,PTH,5,5,F,63,9.81,146,11:00,Recorder2
S922821,2017,PTH,6,5,M,64,10.25,146,11:30,Recorder2
S922822,2017,PTH,1,5,F,62,10.91,146,11:50,Recorder2
S922823,2017,BLG,1,6,F,63,10.46,146,14:00,Recorder2
S922824,2017,BLG,5,6,F,64,11.19,146,14:35,Recorder2
S922825,2017,BLG,5,5,M,64,10.72,146,14:35,Recorder2
Z632270,2017,DEL,1,6,M,66,11,146,9:50,Recorder15
Z632396,2017,MCH,3,6,M,66,10.89,146,9:25,Recorder2
Z632397,2017,SER,6,6,M,67,10.79,146,10:00,Recorder2
Z632463,2017,BLG,3,6,F,63,11.12,146,15:00,Recorder2
Z632972,2017,BLG,1,6,M,66,10.46,146,14:00,Recorder2
S228351,2017,STY,5,5,M,64,10.38,147,12:20,Recorder2
S922097,2017,FOU,6,6,F,64,10.14,147,15:12,Recorder1
S922098,2017,FOU,5,6,M,67,10.7,147,15:42,Recorder1
S922127,2017,ART,3,6,M,67,10.57,147,14:00,Recorder1
S922834,2017,STY,5,5,F,62,10.93,147,12:20,Recorder2
S922836,2017,GLF,1,6,F,63,11.11,147,13:30,Recorder2
Z632432,2017,BLG,6,6,M,65,10.91,147,10:40,Recorder2
Z632627,2017,EDI,5,6,M,65,10.58,147,16:20,Recorder6
Z632827,2017,EDI,5,6,F,60,,147,16:20,Recorder6
Z632951,2017,BLG,6,6,F,64,,147,10:40,Recorder2
Z632966,2017,GLF,1,6,M,65,11.9,147,13:30,Recorder2
S922099,2017,AVN,4,5,F,61,9.89,148,15:00,Recorder8
S922851,2017,PTH,6,5,F,62,10.33,148,9:00,Recorder2
S922883,2017,BAD,1,5,F,63,11.74,148,12:41,Recorder2
S922884,2017,BAD,1,5,M,66,10.85,148,12:41,Recorder2
S228350,2017,STY,3,5,M,62,9.64,149,11:40,Recorder2
S228625,2017,STY,8,5,M,65,10.34,149,11:30,Recorder2
S921012,2017,PIT,6,6,F,63,11.04,149,10:50,Recorder8
S922508,2017,ART,4,6,M,66,11.21,149,15:20,Recorder1
S922509,2017,ART,4,6,F,65,11.75,149,15:20,Recorder1
S922516,2017,FOU,4,5,F,63,11.23,149,18:00,Recorder1
S922601,2017,TAI,4,5,M,63,10.13,149,19:50,Recorder6
S922602,2017,TAI,4,5,F,63,10.67,149,19:50,Recorder6
S922885,2017,STY,4,5,F,60,9.52,149,11:00,Recorder2
S922886,2017,STY,8,5,F,62,10.81,149,11:30,Recorder2
S922887,2017,STY,3,5,F,62,10.58,149,11:40,Recorder2
Z081257,2017,FOU,4,6,M,67,11.46,149,18:00,Recorder1
Z632653,2017,BIR,1,6,F,61,10.72,149,8:30,Recorder2
Z632846,2017,STY,4,6,M,64,11.17,149,11:00,Recorder2
Z632880,2017,ART,8,6,F,64,10.77,149,16:17,Recorder6
Z632881,2017,ART,8,6,M,63,10.62,149,16:17,Recorder6
S922528,2017,SPD,8,6,F,60,10.66,150,8:20,Recorder1
S922536,2017,DOR,6,5,M,65,10.69,150,9:10,Recorder1
S922537,2017,DEL,1,6,F,63,11.01,150,10:00,Recorder1
S922603,2017,DEL,8,5,M,65,11.02,150,9:50,Recorder6
S922604,2017,DEL,8,6,F,65,10.74,150,9:50,Recorder6
S922623,2017,NEW,1,5,M,65,11.27,150,18:30,Recorder1
Z081834,2017,DOR,6,6,F,65,10.74,150,9:10,Recorder1
S921093,2017,PIT,3,5,F,61,11.36,151,11:31,Recorder8
S921094,2017,PIT,3,6,M,67,11.05,151,11:31,Recorder8
S921096,2017,DUN,7,5,M,62,9.81,151,12:30,Recorder8
S921097,2017,DUN,7,5,F,61,11.06,151,12:30,Recorder8
S922633,2017,AVN,6,6,F,62,10.18,151,10:03,Recorder6
S922672,2017,OSP,7,6,F,60,11.56,151,7:12,Recorder6
S922673,2017,OSP,7,6,M,65,10.26,151,7:12,Recorder6
S922712,2017,BAD,5,6,F,63,10.51,151,8:20,Recorder2
S922713,2017,BAD,6,5,F,65,11.08,151,8:40,Recorder2
S922714,2017,BAD,6,6,M,66,11.06,151,8:40,Recorder2
S922715,2017,LVN,8,5,F,64,11.39,151,9:10,Recorder2
S922716,2017,LVN,8,5,M,65,11.75,151,9:10,Recorder2
S922717,2017,GLF,8,6,F,65,10.32,151,11:50,Recorder2
S922718,2017,GLF,8,6,M,63,10.94,151,11:50,Recorder2
Z081130,2017,BAD,2,6,M,66,11.28,151,7:50,Recorder2
Z081147,2017,BAD,5,6,M,64,10.68,151,8:20,Recorder2
Z632390,2017,MCH,2,6,F,62,9.74,151,10:40,Recorder2
Z632478,2017,GLF,6,6,F,61,9.96,151,12:50,Recorder2
Z632638,2017,BAD,2,6,F,64,10.51,151,7:50,Recorder2
Z632894,2017,AVN,6,6,M,65,9.99,151,10:03,Recorder6
S922676,2017,SPD,8,6,M,65,10.16,152,8:38,Recorder6
S922687,2017,AVN,2,6,F,63,9.84,152,15:40,Recorder6
S922700,2017,NEW,1,6,F,61,10.93,152,18:40,Recorder6
S922746,2017,RSY,1,5,M,66,10.78,152,7:50,Recorder2
S922747,2017,RSY,1,5,F,63,10.41,152,7:50,Recorder2
S922748,2017,LVN,7,5,M,69,10.68,152,9:40,Recorder2
S922749,2017,PTH,8,5,M,65,10.83,152,12:00,Recorder2
S922750,2017,PTH,8,5,F,62,11.01,152,12:00,Recorder2
S922759,2017,PIT,6,6,M,64,10.55,152,14:00,Recorder2
S922760,2017,KCK,1,5,M,63,10.23,152,14:30,Recorder2
S922775,2017,AVN,3,6,F,65,11.24,152,19:45,Recorder2
Z081196,2017,DEL,5,6,M,66,10.39,152,9:50,Recorder6
Z163897,2017,LVN,7,5,F,63,10.59,152,9:40,Recorder2
Z163907,2017,LVN,5,5,M,63,,152,9:30,Recorder2
Z632384,2017,LVN,4,6,M,67,11.4,152,9:10,Recorder2
Z632533,2017,LVN,4,6,F,63,10.79,152,9:10,Recorder2
Z632895,2017,AVN,4,6,M,64,11.14,152,20:15,Recorder2
Z632898,2017,AVN,3,6,M,66,11.37,152,19:45,Recorder2
Z632902,2017,AVN,5,6,F,66,11.28,152,20:30,Recorder2
Z632997,2017,KCK,1,6,F,61,10.12,152,14:30,Recorder2
S922401,2017,DUN,6,5,M,63,10.02,153,11:45,Recorder2
S922402,2017,STY,1,5,F,61,10.93,153,12:30,Recorder2
S922411,2017,DOW,8,6,F,62,11.14,153,16:00,Recorder2
S922412,2017,DOW,8,5,M,65,10.57,153,16:00,Recorder2
S922413,2017,DOW,4,5,M,65,11.04,153,16:10,Recorder2
S922414,2017,EDI,1,6,M,65,10.65,153,18:10,Recorder2
S922415,2017,EDI,1,5,F,62,10.76,153,18:10,Recorder2
S922548,2017,HWP,6,6,F,61,10.32,153,10:41,Recorder6
S922549,2017,HWP,6,6,M,65,10.39,153,10:41,Recorder6
S922565,2017,ART,2,5,M,65,10.45,153,14:37,Recorder6
S922566,2017,ART,2,5,F,61,10.82,153,14:37,Recorder6
S922567,2017,ART,5,5,M,64,10.39,153,15:04,Recorder6
S922568,2017,ART,5,5,F,63,11.17,153,15:04,Recorder6
S922569,2017,TAI,1,6,F,62,11.63,153,18:28,Recorder6
S922570,2017,TAI,6,6,F,64,10.74,153,18:35,Recorder6
S922571,2017,TAI,3,6,F,63,10.76,153,19:07,Recorder6
S922794,2017,KCK,8,5,M,63,10.23,153,8:40,Recorder2
S922795,2017,KCK,8,5,F,63,10.08,153,8:40,Recorder2
S922796,2017,KCZ,4,5,F,62,10.45,153,9:00,Recorder2
S922797,2017,PIT,8,5,F,61,10.27,153,10:10,Recorder2
S922798,2017,PIT,8,6,M,63,10.05,153,10:10,Recorder2
S922799,2017,PIT,5,5,F,61,10.68,153,10:30,Recorder2
S922800,2017,DUN,3,5,F,63,11.75,153,11:30,Recorder2
Z081173,2017,MUN,2,6,M,65,9.52,153,16:31,Recorder6
Z081848,2017,TAI,3,6,M,66,11.68,153,19:07,Recorder6
Z632433,2017,STY,1,6,M,67,10.85,153,12:30,Recorder2
Z632845,2017,TAI,1,6,M,66,11.1,153,18:28,Recorder6
Z632861,2017,ART,1,6,F,62,11.05,153,14:19,Recorder6
Z632862,2017,ART,1,6,M,66,11.51,153,14:19,Recorder6
Z632868,2017,GLF,3,6,F,64,10.68,153,14:25,Recorder2
Z632869,2017,GLF,3,6,M,65,10.6,153,14:25,Recorder2
Z632948,2017,CRU,1,6,M,64,10.38,153,9:40,Recorder6
Z632984,2017,KCZ,4,6,M,63,10.59,153,9:00,Recorder2
S228037,2017,FOF,3,5,M,65,10.99,154,9:50,Recorder14
S921098,2017,FOF,3,5,F,62,10.23,154,9:55,Recorder14
S921100,2017,PIT,2,6,M,62,11.06,154,16:05,Recorder8
S921201,2017,RSY,8,5,M,62,10.31,154,9:05,Recorder8
S921202,2017,RSY,8,5,F,62,10.69,154,9:05,Recorder8
S921210,2017,GLF,5,6,M,61,10.31,154,12:05,Recorder8
S921211,2017,GLF,5,5,F,61,10.13,154,12:05,Recorder8
S921212,2017,BIR,2,5,F,61,10.36,154,14:40,Recorder8
S921213,2017,BIR,2,5,M,61,10.65,154,14:40,Recorder14
S921214,2017,PIT,4,5,F,61,10.36,154,16:16,Recorder14
S921215,2017,BLA,2,5,F,60,10.66,154,17:30,Recorder8
S921216,2017,BLA,2,5,M,63,9.98,154,17:30,Recorder8
S921312,2017,INS,4,5,F,64,11.19,154,19:30,Recorder6
S921313,2017,INS,4,5,M,64,10.58,154,19:30,Recorder6
S922586,2017,DEL,3,5,F,62,10.43,154,9:50,Recorder6
S922587,2017,DEL,5,5,F,61,10.34,154,10:34,Recorder6
S922589,2017,RTH,1,5,F,62,11.49,154,17:50,Recorder6
Z081102,2017,DEL,3,6,M,66,9.67,154,9:50,Recorder6
Z081172,2017,MUN,2,6,F,63,10.42,154,12:14,Recorder6
Z081687,2017,LVN,5,6,F,63,10.59,154,11:04,Recorder14
Z081993,2017,CAR,3,6,M,67,10.61,154,14:10,Recorder6
Z632041,2017,CAR,3,6,F,62,11.35,154,14:10,Recorder6
Z632398,2017,LVN,2,6,F,62,11.14,154,10:35,Recorder14
Z632495,2017,LVN,2,6,M,64,10.59,154,10:41,Recorder14
Z632979,2017,RTH,1,6,M,65,11.46,154,17:50,Recorder6
S228402,2017,ALN,8,5,M,62,9.46,155,17:35,Recorder8
S921217,2017,KCK,2,5,M,67,11.31,155,10:03,Recorder6
S921218,2017,DUN,3,6,M,64,11.09,155,14:35,Recorder6
S921314,2017,CRU,1,5,F,61,9.77,155,8:29,Recorder14
S921315,2017,AVI,7,5,M,61,10.03,155,10:25,Recorder8
S921316,2017,AVI,7,5,F,61,10.58,155,10:25,Recorder8
S921317,2017,DAV,8,5,M,62,10.22,155,12:50,Recorder14
S921318,2017,DAV,8,5,F,61,10.61,155,12:45,Recorder14
S921319,2017,DAV,1,6,M,67,11.98,155,13:15,Recorder14
S921320,2017,MUN,5,6,F,61,9.76,155,15:45,Recorder14
S921329,2017,ALN,4,6,F,62,10.12,155,18:00,Recorder14
S921514,2017,MUN,1,5,M,65,11.06,155,15:25,Recorder8
S922416,2017,DOW,5,5,M,65,10.48,155,10:20,Recorder2
S922417,2017,DOW,5,5,F,61,10.13,155,10:20,Recorder2
S922418,2017,DOW,6,5,F,63,10.17,155,10:30,Recorder2
S922419,2017,DOW,6,6,M,64,10.16,155,10:30,Recorder2
S922420,2017,DOW,7,5,M,64,10.22,155,10:40,Recorder2
S922421,2017,DOW,7,5,F,62,10.1,155,10:40,Recorder2
S922422,2017,DOW,4,5,F,63,10.79,155,10:45,Recorder2
Z081171,2017,MUN,1,6,F,63,9.63,155,15:25,Recorder8
Z632794,2017,DUN,6,6,F,62,10.75,155,14:55,Recorder6
Z632860,2017,MUN,5,6,M,67,10.54,155,15:34,Recorder14
Z632998,2017,KCK,2,6,F,63,10.24,155,10:03,Recorder6
S921330,2017,SPD,7,6,M,66,11.62,156,8:02,Recorder14
S921347,2017,FSH,3,5,M,64,11.01,156,15:13,Recorder14
S921348,2017,FSH,3,5,F,61,10.52,156,15:18,Recorder14
S921349,2017,INS,3,6,M,63,9.47,156,16:30,Recorder8
S921530,2017,AVN,7,5,M,66,10.48,156,13:00,Recorder8
S921531,2017,AVN,7,5,F,62,10.83,156,13:00,Recorder8
S922908,2017,BIR,6,6,M,65,10.46,156,12:40,Recorder2
Z081720,2017,BLA,1,6,F,62,10.41,156,14:25,Recorder2
Z632802,2017,BLA,1,6,M,66,10.57,156,14:10,Recorder2
Z632994,2017,DNM,3,6,M,65,10.82,156,15:37,Recorder2
S921221,2017,DNM,3,5,F,66,10.69,157,7:30,Recorder2
S921222,2017,CAL,7,5,F,63,11.03,157,8:10,Recorder2
S921223,2017,CAL,7,6,M,64,10.81,157,8:10,Recorder2
S921224,2017,CAL,2,6,M,64,11.07,157,8:30,Recorder2
S921225,2017,PIT,5,5,M,64,10.86,157,10:20,Recorder2
S921350,2017,AVI,4,5,F,62,10.51,157,9:10,Recorder14
